Orthogroup	Duplications (all)	Duplications (50% support)
OG0000291	34	33
OG0000292	19	18
OG0000293	37	37
OG0000294	40	40
OG0000295	39	39
OG0000296	35	35
OG0000297	37	37
OG0000298	37	37
OG0000299	36	36
OG0000300	37	37
OG0000301	35	35
OG0000302	37	37
OG0000303	37	37
OG0000304	37	37
OG0000305	36	36
OG0000306	37	37
OG0000307	38	38
OG0000308	28	28
OG0000309	36	36
OG0000310	34	31
OG0000311	36	36
OG0000312	30	30
OG0000313	41	41
OG0000314	33	31
OG0000315	33	33
OG0000316	36	36
OG0000317	35	35
OG0000318	31	31
OG0000319	28	28
OG0000320	36	36
OG0000321	36	36
OG0000322	35	35
OG0000323	36	36
OG0000324	37	37
OG0000325	38	38
OG0000326	36	36
OG0000327	37	37
OG0000328	31	29
OG0000329	42	42
OG0000330	36	36
OG0000331	31	31
OG0000332	31	30
OG0000333	34	34
OG0000334	40	40
OG0000335	29	29
OG0000336	34	33
OG0000337	32	30
OG0000338	35	35
OG0000339	35	35
OG0000340	34	33
OG0000341	28	27
OG0000342	35	35
OG0000343	35	35
OG0000344	30	30
OG0000345	35	35
OG0000346	35	35
OG0000347	35	35
OG0000348	35	35
OG0000349	35	35
OG0000350	38	38
OG0000351	35	35
OG0000352	38	38
OG0000353	32	32
OG0000354	34	34
OG0000355	33	25
OG0000356	33	33
OG0000357	30	29
OG0000358	30	29
OG0000359	34	34
OG0000360	33	33
OG0000361	34	34
OG0000362	34	34
OG0000363	33	33
OG0000364	34	34
OG0000365	33	33
OG0000366	32	31
OG0000367	35	35
OG0000368	36	36
OG0000369	36	30
OG0000370	28	27
OG0000371	39	39
OG0000372	39	39
OG0000373	16	15
OG0000374	31	30
OG0000375	32	32
OG0000376	29	28
OG0000377	33	33
OG0000378	33	33
OG0000379	29	27
OG0000380	33	33
OG0000381	35	35
OG0000382	33	33
OG0000383	34	34
OG0000384	24	24
OG0000385	32	32
OG0000386	33	33
OG0000387	32	32
OG0000388	29	28
OG0000389	33	33
OG0000390	34	34
OG0000391	34	34
OG0000392	27	26
OG0000393	29	29
OG0000394	31	31
OG0000395	30	30
OG0000396	32	32
OG0000397	32	32
OG0000398	24	22
OG0000399	31	31
OG0000400	27	23
OG0000401	32	32
OG0000402	34	34
OG0000403	32	32
OG0000404	34	34
OG0000405	32	32
OG0000406	33	33
OG0000407	33	33
OG0000408	38	38
OG0000409	30	29
OG0000410	37	37
OG0000411	31	31
OG0000412	25	25
OG0000413	36	36
OG0000414	28	28
OG0000415	30	30
OG0000416	27	27
OG0000417	31	31
OG0000418	31	31
OG0000419	31	31
OG0000420	31	31
OG0000421	28	28
OG0000422	31	31
OG0000423	28	28
OG0000424	30	30
OG0000425	31	31
OG0000426	31	31
OG0000427	30	30
OG0000428	28	27
OG0000429	30	30
OG0000430	31	31
OG0000431	31	31
OG0000432	31	31
OG0000433	31	31
OG0000434	32	32
OG0000435	31	31
OG0000436	31	31
OG0000437	29	29
OG0000438	32	32
OG0000439	34	34
OG0000440	34	34
OG0000441	33	33
OG0000442	36	36
OG0000443	36	36
OG0000444	35	35
OG0000445	30	30
OG0000446	36	36
OG0000447	30	30
OG0000448	30	30
OG0000449	25	25
OG0000450	29	29
OG0000451	30	30
OG0000452	30	30
OG0000453	31	31
OG0000454	27	26
OG0000455	28	28
OG0000456	30	30
OG0000457	30	30
OG0000458	28	28
OG0000459	27	25
OG0000460	30	30
OG0000461	28	28
OG0000462	29	29
OG0000463	32	32
OG0000464	30	30
OG0000465	29	29
OG0000466	27	26
OG0000467	33	33
OG0000468	31	31
OG0000469	31	31
OG0000470	36	36
OG0000471	31	29
OG0000472	35	35
OG0000473	24	24
OG0000474	35	35
OG0000475	31	30
OG0000476	35	35
OG0000477	28	27
OG0000478	29	29
OG0000479	22	22
OG0000480	29	29
OG0000481	27	27
OG0000482	29	29
OG0000483	29	28
OG0000484	29	29
OG0000485	29	29
OG0000486	29	29
OG0000487	29	29
OG0000488	28	28
OG0000489	27	27
OG0000490	24	24
OG0000491	24	24
OG0000492	29	29
OG0000493	29	29
OG0000494	27	27
OG0000495	26	26
OG0000496	28	28
OG0000497	29	29
OG0000498	29	29
OG0000499	29	29
OG0000500	29	29
OG0000501	27	27
OG0000502	29	29
OG0000503	29	29
OG0000504	28	28
OG0000505	34	34
OG0000506	32	32
OG0000507	35	35
OG0000508	34	34
OG0000509	28	28
OG0000510	28	28
OG0000511	26	22
OG0000512	28	28
OG0000513	28	28
OG0000514	28	28
OG0000515	27	26
OG0000516	28	28
OG0000517	28	28
OG0000518	29	29
OG0000519	26	26
OG0000520	29	29
OG0000521	27	27
OG0000522	28	28
OG0000523	26	25
OG0000524	26	25
OG0000525	26	26
OG0000526	30	30
OG0000527	30	30
OG0000528	28	28
OG0000529	27	27
OG0000530	26	26
OG0000531	27	27
OG0000532	28	28
OG0000533	25	25
OG0000534	27	27
OG0000535	28	28
OG0000536	28	28
OG0000537	25	25
OG0000538	30	30
OG0000539	28	28
OG0000540	27	27
OG0000541	29	29
OG0000542	30	30
OG0000543	29	29
OG0000544	22	22
OG0000545	21	21
OG0000546	29	29
OG0000547	31	31
OG0000548	30	30
OG0000549	26	26
OG0000550	32	32
OG0000551	33	33
OG0000552	33	33
OG0000553	24	24
OG0000554	32	32
OG0000555	27	27
OG0000556	27	27
OG0000557	20	19
OG0000558	27	27
OG0000559	27	27
OG0000560	27	27
OG0000561	25	25
OG0000562	26	26
OG0000563	27	27
OG0000564	28	27
OG0000565	25	24
OG0000566	27	27
OG0000567	29	29
OG0000568	27	27
OG0000569	24	24
OG0000570	23	23
OG0000571	29	29
OG0000572	25	23
OG0000573	27	27
OG0000574	27	25
OG0000575	28	28
OG0000576	25	25
OG0000577	23	23
OG0000578	27	27
OG0000579	26	26
OG0000580	27	27
OG0000581	28	28
OG0000582	26	25
OG0000583	28	28
OG0000584	33	33
OG0000585	26	26
OG0000586	26	26
OG0000587	29	28
OG0000588	26	26
OG0000589	32	32
OG0000590	25	24
OG0000591	24	23
OG0000592	26	25
OG0000593	21	20
OG0000594	23	23
OG0000595	29	28
OG0000596	21	21
OG0000597	24	23
OG0000598	24	24
OG0000599	26	26
OG0000600	24	24
OG0000601	22	22
OG0000602	26	26
OG0000603	23	23
OG0000604	24	24
OG0000605	25	25
OG0000606	24	21
OG0000607	24	24
OG0000608	25	25
OG0000609	27	27
OG0000610	24	24
OG0000611	26	26
OG0000612	21	21
OG0000613	22	22
OG0000614	23	23
OG0000615	25	25
OG0000616	25	25
OG0000617	24	24
OG0000618	26	26
OG0000619	26	26
OG0000620	26	26
OG0000621	29	29
OG0000622	25	18
OG0000623	19	19
OG0000624	25	25
OG0000625	23	23
OG0000626	14	14
OG0000627	25	25
OG0000628	23	23
OG0000629	25	25
OG0000630	27	27
OG0000631	26	26
OG0000632	18	15
OG0000633	26	26
OG0000634	25	25
OG0000635	25	25
OG0000636	25	25
OG0000637	27	27
OG0000638	24	24
OG0000639	25	25
OG0000640	25	25
OG0000641	25	25
OG0000642	26	26
OG0000643	23	23
OG0000644	26	26
OG0000645	22	22
OG0000646	25	25
OG0000647	23	22
OG0000648	23	23
OG0000649	25	25
OG0000650	25	25
OG0000651	25	25
OG0000652	24	24
OG0000653	18	17
OG0000654	25	25
OG0000655	24	24
OG0000656	24	24
OG0000657	25	25
OG0000658	25	25
OG0000659	25	25
OG0000660	28	28
OG0000661	29	29
OG0000662	20	20
OG0000663	26	26
OG0000664	29	29
OG0000665	30	30
OG0000666	31	31
OG0000667	31	31
OG0000668	31	31
OG0000669	30	30
OG0000670	23	22
OG0000671	28	27
OG0000672	24	24
OG0000673	20	20
OG0000674	22	20
OG0000675	20	20
OG0000676	18	18
OG0000677	23	23
OG0000678	18	18
OG0000679	23	23
OG0000680	21	21
OG0000681	24	24
OG0000682	24	24
OG0000683	23	23
OG0000684	24	24
OG0000685	22	22
OG0000686	24	24
OG0000687	18	17
OG0000688	24	24
OG0000689	20	20
OG0000690	25	25
OG0000691	24	24
OG0000692	24	24
OG0000693	21	21
OG0000694	23	22
OG0000695	25	25
OG0000696	21	21
OG0000697	23	23
OG0000698	25	25
OG0000699	26	26
OG0000700	24	24
OG0000701	24	24
OG0000702	23	23
OG0000703	24	24
OG0000704	23	23
OG0000705	24	24
OG0000706	24	24
OG0000707	26	26
OG0000708	24	24
OG0000709	21	21
OG0000710	24	24
OG0000711	24	24
OG0000712	24	24
OG0000713	25	25
OG0000714	25	25
OG0000715	25	24
OG0000716	27	27
OG0000717	25	25
OG0000718	23	23
OG0000719	30	30
OG0000720	23	23
OG0000721	22	19
OG0000722	29	29
OG0000723	23	23
OG0000724	20	20
OG0000725	22	22
OG0000726	23	23
OG0000727	23	22
OG0000728	25	25
OG0000729	29	29
OG0000730	23	23
OG0000731	21	21
OG0000732	16	11
OG0000733	20	20
OG0000734	23	23
OG0000735	29	29
OG0000736	23	23
OG0000737	21	18
OG0000738	23	23
OG0000739	23	23
OG0000740	17	17
OG0000741	23	23
OG0000742	25	25
OG0000743	23	23
OG0000744	19	19
OG0000745	19	19
OG0000746	23	23
OG0000747	22	22
OG0000748	29	29
OG0000749	22	22
OG0000750	20	19
OG0000751	23	23
OG0000752	23	23
OG0000753	23	23
OG0000754	23	23
OG0000755	22	19
OG0000756	22	21
OG0000757	23	23
OG0000758	23	23
OG0000759	20	20
OG0000760	26	26
OG0000761	23	23
OG0000762	23	23
OG0000763	23	23
OG0000764	24	24
OG0000765	21	21
OG0000766	24	24
OG0000767	25	25
OG0000768	24	24
OG0000769	24	24
OG0000770	25	25
OG0000771	19	19
OG0000772	22	22
OG0000773	24	24
OG0000774	26	26
OG0000775	26	26
OG0000776	29	29
OG0000777	29	29
OG0000778	29	29
OG0000779	22	22
OG0000780	26	26
OG0000781	22	22
OG0000782	22	22
OG0000783	22	22
OG0000784	22	22
OG0000785	22	22
OG0000786	19	16
OG0000787	20	19
OG0000788	22	22
OG0000789	22	22
OG0000790	21	21
OG0000791	20	19
OG0000792	22	22
OG0000793	22	22
OG0000794	22	22
OG0000795	22	22
OG0000796	22	22
OG0000797	22	22
OG0000798	22	22
OG0000799	21	20
OG0000800	24	24
OG0000801	18	18
OG0000802	22	22
OG0000803	20	20
OG0000804	22	21
OG0000805	22	22
OG0000806	22	22
OG0000807	15	14
OG0000808	22	21
OG0000809	21	21
OG0000810	22	22
OG0000811	22	22
OG0000812	21	21
OG0000813	22	22
OG0000814	19	19
OG0000815	22	22
OG0000816	16	16
OG0000817	22	22
OG0000818	22	22
OG0000819	22	22
OG0000820	22	22
OG0000821	23	23
OG0000822	20	20
OG0000823	17	17
OG0000824	22	22
OG0000825	22	22
OG0000826	24	24
OG0000827	23	23
OG0000828	24	24
OG0000829	22	22
OG0000830	22	22
OG0000831	22	22
OG0000832	22	22
OG0000833	22	22
OG0000834	22	22
OG0000835	22	22
OG0000836	18	18
OG0000837	21	21
OG0000838	23	23
OG0000839	25	25
OG0000840	25	25
OG0000841	23	23
OG0000842	28	28
OG0000843	20	19
OG0000844	23	23
OG0000845	20	19
OG0000846	21	21
OG0000847	21	21
OG0000848	19	19
OG0000849	21	21
OG0000850	21	21
OG0000851	22	21
OG0000852	21	21
OG0000853	23	23
OG0000854	21	21
OG0000855	21	21
OG0000856	19	19
OG0000857	21	21
OG0000858	17	17
OG0000859	21	21
OG0000860	21	21
OG0000861	21	21
OG0000862	23	23
OG0000863	21	21
OG0000864	21	21
OG0000865	21	21
OG0000866	21	21
OG0000867	20	20
OG0000868	18	18
OG0000869	21	21
OG0000870	20	20
OG0000871	21	21
OG0000872	21	21
OG0000873	21	21
OG0000874	21	21
OG0000875	21	21
OG0000876	20	20
OG0000877	21	21
OG0000878	19	18
OG0000879	20	17
OG0000880	20	20
OG0000881	21	21
OG0000882	21	20
OG0000883	22	22
OG0000884	21	21
OG0000885	22	22
OG0000886	20	20
OG0000887	21	21
OG0000888	20	20
OG0000889	21	21
OG0000890	21	21
OG0000891	20	20
OG0000892	20	20
OG0000893	21	21
OG0000894	17	17
OG0000895	20	20
OG0000896	21	21
OG0000897	19	19
OG0000898	21	21
OG0000899	21	21
OG0000900	21	21
OG0000901	21	21
OG0000902	21	21
OG0000903	21	21
OG0000904	21	21
OG0000905	21	21
OG0000906	19	19
OG0000907	19	18
OG0000908	21	21
OG0000909	21	21
OG0000910	21	21
OG0000911	21	21
OG0000912	21	21
OG0000913	21	21
OG0000914	19	19
OG0000915	21	21
OG0000916	16	15
OG0000917	21	21
OG0000918	22	22
OG0000919	19	19
OG0000920	22	22
OG0000921	22	22
OG0000922	22	22
OG0000923	22	22
OG0000924	17	17
OG0000925	22	22
OG0000926	27	27
OG0000927	27	27
OG0000928	27	27
OG0000929	27	27
OG0000930	27	27
OG0000931	27	27
OG0000932	27	27
OG0000933	16	16
OG0000934	22	22
OG0000935	19	19
OG0000936	26	26
OG0000937	20	20
OG0000938	18	17
OG0000939	26	26
OG0000940	18	18
OG0000941	22	22
OG0000942	20	19
OG0000943	20	20
OG0000944	20	20
OG0000945	17	17
OG0000946	20	20
OG0000947	26	26
OG0000948	20	20
OG0000949	20	20
OG0000950	20	20
OG0000951	21	21
OG0000952	19	19
OG0000953	21	21
OG0000954	19	19
OG0000955	20	20
OG0000956	20	20
OG0000957	20	20
OG0000958	19	19
OG0000959	20	20
OG0000960	22	22
OG0000961	20	20
OG0000962	20	20
OG0000963	20	20
OG0000964	18	18
OG0000965	20	20
OG0000966	18	18
OG0000967	20	20
OG0000968	20	20
OG0000969	20	20
OG0000970	21	21
OG0000971	19	19
OG0000972	20	20
OG0000973	20	20
OG0000974	18	18
OG0000975	18	17
OG0000976	22	20
OG0000977	26	26
OG0000978	22	22
OG0000979	20	20
OG0000980	20	20
OG0000981	20	20
OG0000982	20	20
OG0000983	23	23
OG0000984	20	20
OG0000985	20	20
OG0000986	20	20
OG0000987	20	20
OG0000988	20	19
OG0000989	22	22
OG0000990	17	16
OG0000991	20	20
OG0000992	20	20
OG0000993	20	20
OG0000994	20	20
OG0000995	19	19
OG0000996	20	20
OG0000997	20	20
OG0000998	21	21
OG0000999	20	20
OG0001000	20	20
OG0001001	20	20
OG0001002	17	17
OG0001003	21	21
OG0001004	21	21
OG0001005	19	19
OG0001006	19	19
OG0001007	23	23
OG0001008	19	19
OG0001009	21	21
OG0001010	21	21
OG0001011	20	20
OG0001012	23	23
OG0001013	23	23
OG0001014	26	26
OG0001015	26	26
OG0001016	26	26
OG0001017	20	20
OG0001018	20	20
OG0001019	25	25
OG0001020	19	19
OG0001021	19	19
OG0001022	19	19
OG0001023	19	19
OG0001024	20	20
OG0001025	19	19
OG0001026	17	17
OG0001027	18	18
OG0001028	19	19
OG0001029	19	19
OG0001030	25	25
OG0001031	19	19
OG0001032	19	19
OG0001033	19	19
OG0001034	19	19
OG0001035	22	22
OG0001036	19	19
OG0001037	18	18
OG0001038	19	19
OG0001039	19	19
OG0001040	18	18
OG0001041	20	20
OG0001042	20	20
OG0001043	18	18
OG0001044	18	18
OG0001045	19	19
OG0001046	18	18
OG0001047	19	19
OG0001048	19	19
OG0001049	21	21
OG0001050	13	13
OG0001051	18	18
OG0001052	17	17
OG0001053	19	19
OG0001054	19	19
OG0001055	19	19
OG0001056	18	18
OG0001057	19	19
OG0001058	19	19
OG0001059	19	19
OG0001060	19	19
OG0001061	19	19
OG0001062	18	18
OG0001063	25	25
OG0001064	18	18
OG0001065	18	17
OG0001066	19	19
OG0001067	19	19
OG0001068	16	16
OG0001069	16	16
OG0001070	17	16
OG0001071	16	16
OG0001072	18	18
OG0001073	20	20
OG0001074	18	18
OG0001075	16	16
OG0001076	19	19
OG0001077	20	20
OG0001078	15	15
OG0001079	18	17
OG0001080	18	18
OG0001081	18	17
OG0001082	19	19
OG0001083	18	18
OG0001084	19	19
OG0001085	19	19
OG0001086	12	10
OG0001087	19	19
OG0001088	19	19
OG0001089	19	19
OG0001090	17	16
OG0001091	17	16
OG0001092	19	19
OG0001093	19	19
OG0001094	19	19
OG0001095	18	18
OG0001096	19	19
OG0001097	19	19
OG0001098	19	19
OG0001099	19	19
OG0001100	24	24
OG0001101	18	18
OG0001102	18	18
OG0001103	22	22
OG0001104	22	22
OG0001105	20	20
OG0001106	18	18
OG0001107	20	20
OG0001108	20	20
OG0001109	21	21
OG0001110	20	20
OG0001111	20	20
OG0001112	22	22
OG0001113	23	23
OG0001114	18	14
OG0001115	19	19
OG0001116	23	23
OG0001117	25	25
OG0001118	25	25
OG0001119	25	25
OG0001120	25	25
OG0001121	25	25
OG0001122	24	24
OG0001123	18	18
OG0001124	24	24
OG0001125	19	19
OG0001126	16	16
OG0001127	18	18
OG0001128	16	16
OG0001129	16	16
OG0001130	18	18
OG0001131	18	18
OG0001132	17	16
OG0001133	18	18
OG0001134	17	17
OG0001135	10	9
OG0001136	16	16
OG0001137	16	16
OG0001138	17	16
OG0001139	18	18
OG0001140	18	18
OG0001141	18	18
OG0001142	18	18
OG0001143	15	15
OG0001144	17	17
OG0001145	18	18
OG0001146	18	18
OG0001147	22	22
OG0001148	17	16
OG0001149	18	18
OG0001150	13	13
OG0001151	18	18
OG0001152	20	20
OG0001153	17	16
OG0001154	17	17
OG0001155	18	18
OG0001156	18	18
OG0001157	17	17
OG0001158	16	16
OG0001159	18	18
OG0001160	18	18
OG0001161	18	18
OG0001162	18	18
OG0001163	18	18
OG0001164	18	18
OG0001165	18	18
OG0001166	18	18
OG0001167	18	18
OG0001168	20	20
OG0001169	18	18
OG0001170	18	18
OG0001171	18	17
OG0001172	19	19
OG0001173	18	18
OG0001174	18	18
OG0001175	18	18
OG0001176	18	18
OG0001177	18	18
OG0001178	18	18
OG0001179	18	18
OG0001180	17	17
OG0001181	18	18
OG0001182	18	18
OG0001183	18	18
OG0001184	18	18
OG0001185	18	18
OG0001186	17	17
OG0001187	17	17
OG0001188	18	18
OG0001189	19	19
OG0001190	15	15
OG0001191	18	18
OG0001192	18	18
OG0001193	18	18
OG0001194	18	18
OG0001195	20	20
OG0001196	17	17
OG0001197	24	24
OG0001198	16	16
OG0001199	19	18
OG0001200	16	16
OG0001201	17	16
OG0001202	18	18
OG0001203	18	18
OG0001204	18	18
OG0001205	16	15
OG0001206	18	18
OG0001207	14	14
OG0001208	18	18
OG0001209	18	18
OG0001210	18	18
OG0001211	18	18
OG0001212	16	16
OG0001213	21	21
OG0001214	19	19
OG0001215	16	16
OG0001216	19	19
OG0001217	17	17
OG0001218	18	18
OG0001219	18	17
OG0001220	19	19
OG0001221	21	21
OG0001222	21	21
OG0001223	19	19
OG0001224	20	20
OG0001225	24	24
OG0001226	16	16
OG0001227	17	17
OG0001228	18	18
OG0001229	23	23
OG0001230	16	16
OG0001231	19	19
OG0001232	17	17
OG0001233	16	16
OG0001234	15	15
OG0001235	17	17
OG0001236	17	17
OG0001237	17	17
OG0001238	18	18
OG0001239	17	17
OG0001240	17	17
OG0001241	16	13
OG0001242	17	17
OG0001243	17	17
OG0001244	15	15
OG0001245	17	17
OG0001246	14	14
OG0001247	17	17
OG0001248	17	16
OG0001249	16	16
OG0001250	17	17
OG0001251	17	17
OG0001252	17	17
OG0001253	16	16
OG0001254	16	16
OG0001255	18	18
OG0001256	17	17
OG0001257	16	16
OG0001258	13	12
OG0001259	19	19
OG0001260	17	17
OG0001261	17	17
OG0001262	16	16
OG0001263	17	17
OG0001264	12	12
OG0001265	17	17
OG0001266	17	17
OG0001267	17	17
OG0001268	17	17
OG0001269	15	15
OG0001270	17	17
OG0001271	17	17
OG0001272	17	17
OG0001273	17	17
OG0001274	15	15
OG0001275	12	12
OG0001276	14	12
OG0001277	17	17
OG0001278	17	17
OG0001279	17	17
OG0001280	17	17
OG0001281	17	17
OG0001282	17	17
OG0001283	17	17
OG0001284	17	17
OG0001285	18	18
OG0001286	17	17
OG0001287	16	16
OG0001288	16	16
OG0001289	14	14
OG0001290	18	18
OG0001291	19	19
OG0001292	17	17
OG0001293	15	15
OG0001294	23	23
OG0001295	17	17
OG0001296	18	18
OG0001297	17	17
OG0001298	16	16
OG0001299	19	19
OG0001300	17	17
OG0001301	17	17
OG0001302	16	16
OG0001303	17	17
OG0001304	16	16
OG0001305	21	21
OG0001306	18	18
OG0001307	17	17
OG0001308	18	18
OG0001309	17	17
OG0001310	14	14
OG0001311	17	17
OG0001312	16	16
OG0001313	17	17
OG0001314	12	12
OG0001315	17	17
OG0001316	17	17
OG0001317	19	19
OG0001318	17	17
OG0001319	17	17
OG0001320	16	16
OG0001321	17	17
OG0001322	17	17
OG0001323	17	17
OG0001324	17	17
OG0001325	17	17
OG0001326	18	18
OG0001327	18	18
OG0001328	12	12
OG0001329	18	18
OG0001330	20	20
OG0001331	18	18
OG0001332	18	18
OG0001333	18	18
OG0001334	21	21
OG0001335	18	18
OG0001336	19	19
OG0001337	19	19
OG0001338	18	18
OG0001339	17	15
OG0001340	17	17
OG0001341	23	23
OG0001342	22	22
OG0001343	18	18
OG0001344	22	22
OG0001345	16	16
OG0001346	22	22
OG0001347	16	16
OG0001348	22	22
OG0001349	14	14
OG0001350	15	15
OG0001351	16	16
OG0001352	16	16
OG0001353	18	18
OG0001354	18	18
OG0001355	15	15
OG0001356	16	16
OG0001357	16	16
OG0001358	16	16
OG0001359	16	16
OG0001360	17	17
OG0001361	16	16
OG0001362	15	15
OG0001363	16	16
OG0001364	16	16
OG0001365	16	16
OG0001366	16	16
OG0001367	16	16
OG0001368	16	16
OG0001369	16	16
OG0001370	16	16
OG0001371	16	16
OG0001372	15	14
OG0001373	15	15
OG0001374	15	15
OG0001375	16	16
OG0001376	16	16
OG0001377	16	16
OG0001378	16	16
OG0001379	18	18
OG0001380	14	13
OG0001381	14	14
OG0001382	16	16
OG0001383	16	16
OG0001384	17	17
OG0001385	10	10
OG0001386	16	16
OG0001387	20	20
OG0001388	16	16
OG0001389	16	16
OG0001390	16	16
OG0001391	16	16
OG0001392	14	14
OG0001393	16	16
OG0001394	16	16
